,rider,team,points
324,Edoardo  Zambanini ,Bahrain - Victorious,221
325,Erik  Fetter ,EOLO-Kometa,221
326,Benjamin  Perry ,WiV SunGod,220
327,Geoffrey  Bouchard ,AG2R Citroën Team,220
328,Maximilian  Schachmann ,BORA - hansgrohe,220
329,Rune  Herregodts ,Sport Vlaanderen - Baloise,220
330,Edoardo  Affini ,Jumbo-Visma,218.8
331,Jakub  Kaczmarek ,HRE Mazowsze Serce Polski,215
332,Brady  Gilmore ,ARA Pro Racing Sunshine Coast,215
333,Emīls  Liepiņš ,Trek - Segafredo,215
334,Mick van Dijke ,Jumbo-Visma,214
335,Dion  Smith ,Team BikeExchange - Jayco,214
336,Luc  Wirtgen ,Bingoal Pauwels Sauces WB,212
337,Nick  Schultz ,Team BikeExchange - Jayco,212
338,Ylber  Sefa ,,212
339,Jakub  Otruba ,Elkov - Kasper,212
340,Lucas  Eriksson ,Riwal Cycling Team,210
341,Laurence  Pithie ,Equipe continentale Groupama-FDJ,209.3
342,Lukáš  Kubiš ,Dukla Banska Bystrica,209
343,Thomas  Pesenti ,Beltrami TSA - Tre Colli,207
344,Andreas  Stokbro ,Team Coop ,207
345,German Nicolás  Tivani ,Agrupación Virgen de Fatima - San Juan Biker Motos,206
346,Kevin  Colleoni ,Team BikeExchange - Jayco,205
347,Felix  Engelhardt ,Tirol KTM Cycling Team,203.5
348,Ethan  Vernon ,Quick-Step Alpha Vinyl Team,202
349,Cristian  Raileanu ,Sakarya BB Pro Team,202
350,Paul  Penhoët ,Groupama - FDJ,202
351,Patryk  Stosz ,Voster ATS Team,200.7
352,Walter  Vargas ,Team Medellín - EPM,200
353,Steven  Kruijswijk ,Jumbo-Visma,199
354,Idar  Andersen ,Uno-X Pro Cycling Team,199
355,Fran  Miholjević ,Cycling Team Friuli ASD,198.4
356,Tomáš  Bárta ,ATT Investments,198
357,Óscar  Rodríguez ,Movistar Team,198
358,Rémy  Rochas ,Cofidis,197
359,Rubén  Fernández ,Cofidis,197
360,Jefferson Alexander  Cepeda ,EF Education - EasyPost,197
361,Joren  Bloem ,ABLOC CT,196
362,Lewis  Askey ,Groupama - FDJ,196
363,Adam  Ťoupalík ,Elkov - Kasper,195
364,Chris  Lawless ,TotalEnergies,195
365,John  Degenkolb ,Team DSM,195
366,Michael  Kukrle ,Elkov - Kasper,194
367,Yevgeniy  Gidich ,Astana Qazaqstan Team,192.5
368,Bert Van Lerberghe ,Quick-Step Alpha Vinyl Team,191
369,Gleb  Brussenskiy ,Astana Qazaqstan Team,191
370,Rein  Taaramäe ,Intermarché - Wanty - Gobert Matériaux,190
371,Kobe  Goossens ,Intermarché - Wanty - Gobert Matériaux,190
372,Simone  Velasco ,Astana Qazaqstan Team,190
373,Leo  Hayter ,Hagens Berman Axeon,190
374,Santiago  Montenegro ,Movistar - Best PC,190
375,Michel  Hessmann ,Jumbo-Visma,189.5
376,Pavel  Bittner ,Team DSM,189
377,Franklin  Archibold ,Panamá es Cultura y Valores,188
378,Alexis  Guerin ,Team Vorarlberg,187
379,Jonas  Gregaard ,Uno-X Pro Cycling Team,186
380,Thimo  Willems ,Minerva Cycling,184
381,Emil  Dima ,Giotti Victoria - Savini Due,184
382,Adil El Arbaoui ,,183
383,Archie  Ryan ,Jumbo-Visma Development Team,183
384,Michael  Valgren ,EF Education - EasyPost,182
385,Fernando  Barceló ,Caja Rural - Seguros RGA,182
386,Emmanuel  Morin ,Team U Nantes Atlantique,181
387,Frederico  Figueiredo ,Glassdrive Q8 Anicolor,181
388,Mark  Padun ,EF Education - EasyPost,180
389,Nicolò  Buratti ,Cycling Team Friuli ASD,179.4
390,Elmar  Reinders ,Team BikeExchange - Jayco,179
391,Dylan  George ,Team BridgeLane,179
392,Ben  Healy ,EF Education - EasyPost,179
393,Tobias  Bayer ,Alpecin - Deceuninck,178.3
394,Mauricio  Moreira ,Glassdrive Q8 Anicolor,178
395,Metkel  Eyob ,Terengganu Polygon Cycling Team,177
396,Anthony  Perez ,Cofidis,176
397,Jacob  Hindsgaul ,Uno-X Pro Cycling Team,175
398,Jannik  Steimle ,Quick-Step Alpha Vinyl Team,175
399,Gijs  Leemreize ,Jumbo-Visma,175
400,José Luis  Rodriguez ,,175
401,Szymon  Rekita ,Voster ATS Team,174.7
402,Nathan  Earle ,Team UKYO,174
403,Bilguunjargal  Erdenebat ,Ferei Mongolia Development Team,173.8
404,Dušan  Rajović ,Team Corratec,173
405,Raymond  Kreder ,Team UKYO,173
406,Tony  Gallopin ,Trek - Segafredo,173
407,Stan Van Tricht ,Quick-Step Alpha Vinyl Team,172
408,Rait  Ärm ,Equipe continentale Groupama-FDJ,171
409,Aaron Van Poucke ,Sport Vlaanderen - Baloise,169
410,Nicolas David  Gomez ,Team Colpack Ballan,168
411,Rainer  Kepplinger ,Hrinkow Advarics Cycleang,168
412,Miká  Heming ,ATT Investments,168
413,Roger  Adrià ,Equipo Kern Pharma,168
414,Logan  Currie ,Bolton Equities Black Spoke Pro Cycling,167.2
415,Maxime  Bouet ,Team Arkéa Samsic,166
416,Joel  Suter ,UAE Team Emirates,165
417,Yukiya  Arashiro ,Bahrain - Victorious,165
418,Omar  Fraile ,INEOS Grenadiers,165
419,Nasser Eddine  Maatougui ,Sidi Ali - Unlock Team,163.7
420,Mikel  Bizkarra ,Euskaltel - Euskadi,163
421,Marco  Tizza ,Bingoal Pauwels Sauces WB,163
422,Clément  Berthet ,AG2R Citroën Team,163
423,Ryan  Gibbons ,UAE Team Emirates,161
424,Nelson  Oliveira ,Movistar Team,158
425,Lilian  Calmejane ,AG2R Citroën Team,157
426,Josef  Černý ,Quick-Step Alpha Vinyl Team,156
427,Jonas  Rapp ,Hrinkow Advarics Cycleang,156
428,Lionel  Taminiaux ,Alpecin - Deceuninck,156
429,Matěj  Zahálka ,Elkov - Kasper,155
430,Sixto  Nuñez ,,155
431,Sebastian  Kolze Changizi ,Team ColoQuick,153.2
432,Robin  Froidevaux ,Tudor Pro Cycling Team,153
433,Łukasz  Owsian ,Team Arkéa Samsic,152
434,Norman  Vahtra ,Go Sport - Roubaix Lille Métropole,152
435,Kamiel  Bonneu ,Sport Vlaanderen - Baloise,151
436,Cedric  Beullens ,Lotto Soudal,151
437,Islam  Mansouri ,,151
438,Youssef  Bdadou ,,150
439,Davide De Pretto ,Zalf Euromobil Fior,149
440,Niccolò  Bonifazio ,TotalEnergies,149
441,Christian  Scaroni ,Astana Qazaqstan Team,149
442,Rasmus Bøgh  Wallin ,Restaurant Suri - Carl Ras,149
443,Reuben  Thompson ,Equipe continentale Groupama-FDJ,148.2
444,Krists  Neilands ,Israel - Premier Tech,148
445,Kyle  Murphy ,Human Powered Health,148
446,James  Shaw ,EF Education - EasyPost,148
447,Nicolas  Vinokurov ,Astana Qazaqstan Development Team,148
448,Daryl  Impey ,Israel - Premier Tech,147
449,Pascal  Eenkhoorn ,Jumbo-Visma,146
450,Oscar  Onley ,Development Team DSM,146
451,Georgios  Bouglas ,Spor Toto Cycling Team,146
452,Merhawi  Kudus ,EF Education - EasyPost,146
453,Baptiste  Planckaert ,Intermarché - Wanty - Gobert Matériaux,145
454,Nassim  Saidi ,Dubai Police Cycling Team,145
455,Francisco  Galván ,Equipo Kern Pharma,144
456,Zdeněk  Štybar ,Quick-Step Alpha Vinyl Team,144
457,Maral-Erdene  Batmunkh ,Levante Fuji Shizuoka,143.8
458,Lenny  Martinez ,Equipe continentale Groupama-FDJ,143.2
459,Juan Mardoqueo  Vásquez ,,143
460,Tomáš  Kopecký ,ABLOC CT,143
461,Tilen  Finkšt ,Adria Mobil,143
462,Daan  Hoole ,Trek - Segafredo,142.7
463,Thomas  Lebas ,Kinan Cycling Team,142
464,Matúš  Štoček ,ATT Investments,142
465,Tobias  Ludvigsson ,Groupama - FDJ,142
466,Davide  Piganzoli ,EOLO-Kometa U23,141
467,Maikel  Zijlaard ,VolkerWessels Cycling Team,140.5
468,Mustafa  Sayar ,Sakarya BB Pro Team,140
469,Jan  Bakelants ,Intermarché - Wanty - Gobert Matériaux,140
470,Jan  Bárta ,Elkov - Kasper,140
471,Jacob  Eriksson ,Riwal Cycling Team,140
472,Maciej  Paterski ,Voster ATS Team,139
473,Venantas  Lašinis ,Kaunas Cycling Team,138
474,Timo  Kielich ,Alpecin-Deceuninck Development Team,138
475,Luke  Lamperti ,Trinity Racing,138
476,Romain  Cardis ,St Michel - Auber93,136
477,Christophe  Noppe ,Team Arkéa Samsic,136
478,Gianluca  Brambilla ,Trek - Segafredo,136
479,Mihkel  Räim ,Burgos - BH,136
480,Rory  Townsend ,WiV SunGod,136
481,Quinn  Simmons ,Trek - Segafredo,135
482,Bolivar  Espinoza ,Panamá es Cultura y Valores,135
483,Yousif  Mirza ,UAE Team Emirates,135
484,Raúl  García Pierna ,Equipo Kern Pharma,134.7
485,Rui  Oliveira ,UAE Team Emirates,134
486,Luke  Durbridge ,Team BikeExchange - Jayco,133.2
487,Damien  Touzé ,AG2R Citroën Team,133
488,Luca  Covili ,Bardiani-CSF-Faizanè,132
489,Samuel  Leroux ,Go Sport - Roubaix Lille Métropole,131
490,Daniil  Marukhin ,Almaty Cycling Team,131
491,Antonio  Tiberi ,Trek - Segafredo,131
492,Jonas  Koch ,BORA - hansgrohe,131
493,Tyler  Stites ,Project Echelon Racing,131
494,Azzedine  Lagab ,,130
495,Michael  Boroš ,Elkov - Kasper,130
496,Mohamed Amine  N'hari ,,130
497,Romain  Hardy ,Team Arkéa Samsic,130
498,Martin  Laas ,BORA - hansgrohe,130
499,Matthew  Bostock ,WiV SunGod,129
